ch,sex,age_class,flyway,freq
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",M,HY,1,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",M,HY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",M,HY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",M,HY,4,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",F,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",F,AHY,4,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",F,HY,1,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",F,HY,2,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",F,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,AHY,1,163
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,AHY,2,99
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,AHY,3,65
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,AHY,4,219
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,HY,1,1328
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,HY,2,361
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,HY,3,73
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,HY,4,616
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,AHY,1,262
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,AHY,2,135
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,AHY,3,47
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,AHY,4,347
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,HY,1,1290
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",F,HY,2,366
