ch,sex,age_class,flyway,freq
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",F,AHY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",F,HY,1,6
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",F,HY,2,5
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",F,HY,6,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",M,AHY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",M,AHY,3,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",M,AHY,4,3
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",M,HY,1,3
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",M,HY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",M,HY,4,3
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",M,HY,6,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",F,AHY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",F,AHY,4,4
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",F,HY,1,3
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",F,HY,2,3
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",F,HY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",F,HY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,AHY,1,119
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,AHY,2,98
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,AHY,3,62
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,AHY,4,183
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,AHY,6,86
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,HY,1,971
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,HY,2,355
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,HY,3,67
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,HY,4,560
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,HY,6,425
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,AHY,1,186
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,AHY,2,135
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,AHY,3,44
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,AHY,4,305
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,AHY,6,121
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,HY,1,990
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,HY,2,366
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,HY,3,58
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,HY,4,579
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,HY,5,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,HY,6,357
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001""",M,HY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001""",F,AHY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001""",F,HY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001""",F,HY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100""",M,HY,1,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100""",F,AHY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100""",F,AHY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100""",F,HY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",M,AHY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",M,HY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",M,HY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",M,HY,3,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",M,HY,4,3
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",M,HY,6,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",F,AHY,1,3
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",F,AHY,2,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",F,AHY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",F,HY,1,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",F,HY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",F,HY,4,3
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",F,HY,6,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",M,HY,1,4
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",M,HY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",M,HY,3,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",M,HY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",F,AHY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",F,AHY,4,4
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",F,AHY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",F,HY,1,5
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",F,HY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,AHY,1,118
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,AHY,2,82
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000""",M,AHY,3,41
